Id,topic,Label
2023-12-05_1926.txt,38,2023-12-05_1926.txt
2023-12-06_1903.txt,38,2023-12-06_1903.txt
2023-12-12_1802.txt,38,2023-12-12_1802.txt
2023-12-09_1850.txt,38,2023-12-09_1850.txt
2023-12-16_1730.txt,38,2023-12-16_1730.txt
2023-12-23_1638.txt,38,2023-12-23_1638.txt
2023-12-07_1887.txt,38,2023-12-07_1887.txt
2023-12-17_1711.txt,38,2023-12-17_1711.txt
2023-12-13_1786.txt,38,2023-12-13_1786.txt
2023-12-11_1819.txt,38,2023-12-11_1819.txt
2023-12-18_1701.txt,38,2023-12-18_1701.txt
2023-12-14_1769.txt,38,2023-12-14_1769.txt
2023-12-08_1870.txt,38,2023-12-08_1870.txt
2023-12-15_1750.txt,38,2023-12-15_1750.txt
2024-02-25_957.txt,68,2024-02-25_957.txt
2024-01-21_1329.txt,68,2024-01-21_1329.txt
2024-01-14_1405.txt,68,2024-01-14_1405.txt
2024-02-18_1049.txt,68,2024-02-18_1049.txt
2024-03-17_334.txt,68,2024-03-17_334.txt
2024-02-04_1183.txt,68,2024-02-04_1183.txt
2024-01-07_1480.txt,68,2024-01-07_1480.txt
2024-01-28_1248.txt,68,2024-01-28_1248.txt
2024-03-24_272.txt,68,2024-03-24_272.txt
2024-03-06_846.txt,46,2024-03-06_846.txt
2024-03-14_358.txt,46,2024-03-14_358.txt
2024-02-07_1162.txt,72,2024-02-07_1162.txt
2024-01-31_1221.txt,32,2024-01-31_1221.txt
2024-01-17_1370.txt,32,2024-01-17_1370.txt
2024-04-04_153.txt,32,2024-04-04_153.txt
2024-01-10_1456.txt,32,2024-01-10_1456.txt
2024-01-24_1295.txt,32,2024-01-24_1295.txt
2024-04-10_81.txt,32,2024-04-10_81.txt
2024-03-05_856.txt,46,2024-03-05_856.txt
2024-03-12_380.txt,46,2024-03-12_380.txt
2024-01-16_1382.txt,32,2024-01-16_1382.txt
2024-01-23_1304.txt,32,2024-01-23_1304.txt
2024-02-06_1170.txt,72,2024-02-06_1170.txt
2024-02-20_1012.txt,72,2024-02-20_1012.txt
2024-01-30_1226.txt,32,2024-01-30_1226.txt
2024-03-31_203.txt,68,2024-03-31_203.txt
2024-01-12_1429.txt,32,2024-01-12_1429.txt
2024-02-02_1201.txt,72,2024-02-02_1201.txt
2024-01-15_1394.txt,69,2024-01-15_1394.txt
2024-01-22_1317.txt,69,2024-01-22_1317.txt
2024-01-29_1237.txt,69,2024-01-29_1237.txt
2024-02-05_1175.txt,69,2024-02-05_1175.txt
2024-02-12_1118.txt,69,2024-02-12_1118.txt
2024-03-01_894.txt,46,2024-03-01_894.txt
2024-03-08_819.txt,46,2024-03-08_819.txt
2024-03-22_285.txt,46,2024-03-22_285.txt
2024-01-04_1505.txt,32,2024-01-04_1505.txt
2024-02-01_1211.txt,72,2024-02-01_1211.txt
2024-01-18_1360.txt,32,2024-01-18_1360.txt
2024-01-11_1444.txt,32,2024-01-11_1444.txt
2024-03-16_343.txt,46,2024-03-16_343.txt
2024-03-02_885.txt,46,2024-03-02_885.txt
2024-03-09_810.txt,46,2024-03-09_810.txt
2024-03-23_277.txt,46,2024-03-23_277.txt
2024-01-25_1284.txt,32,2024-01-25_1284.txt
2024-01-06_1490.txt,32,2024-01-06_1490.txt
